spec_id,m,alpha,rho,pi_w,pi_in,win_scale_global,win_scale_bias,input_bound
d1n300_m014_a065_r070_piw003_piin100_wg020_wb020_boundnone,14,0.65,0.70,0.03,1.00,0.20,0.20,none
d1n300_m014_a065_r080_piw003_piin100_wg020_wb020_boundnone,14,0.65,0.80,0.03,1.00,0.20,0.20,none
d1n300_m014_a065_r090_piw003_piin100_wg020_wb020_boundnone,14,0.65,0.90,0.03,1.00,0.20,0.20,none
d1n300_m014_a075_r070_piw003_piin100_wg020_wb020_boundnone,14,0.75,0.70,0.03,1.00,0.20,0.20,none
d1n300_m014_a075_r080_piw003_piin100_wg020_wb020_boundnone,14,0.75,0.80,0.03,1.00,0.20,0.20,none
d1n300_m014_a075_r090_piw003_piin100_wg020_wb020_boundnone,14,0.75,0.90,0.03,1.00,0.20,0.20,none
d1n300_m014_a085_r070_piw003_piin100_wg020_wb020_boundnone,14,0.85,0.70,0.03,1.00,0.20,0.20,none
d1n300_m014_a085_r080_piw003_piin100_wg020_wb020_boundnone,14,0.85,0.80,0.03,1.00,0.20,0.20,none
d1n300_m014_a085_r090_piw003_piin100_wg020_wb020_boundnone,14,0.85,0.90,0.03,1.00,0.20,0.20,none
d1n300_m018_a065_r070_piw003_piin100_wg020_wb020_boundnone,18,0.65,0.70,0.03,1.00,0.20,0.20,none
d1n300_m018_a065_r080_piw003_piin100_wg020_wb020_boundnone,18,0.65,0.80,0.03,1.00,0.20,0.20,none
d1n300_m018_a065_r090_piw003_piin100_wg020_wb020_boundnone,18,0.65,0.90,0.03,1.00,0.20,0.20,none
d1n300_m018_a075_r070_piw003_piin100_wg020_wb020_boundnone,18,0.75,0.70,0.03,1.00,0.20,0.20,none
d1n300_m018_a075_r080_piw003_piin100_wg020_wb020_boundnone,18,0.75,0.80,0.03,1.00,0.20,0.20,none
d1n300_m018_a075_r090_piw003_piin100_wg020_wb020_boundnone,18,0.75,0.90,0.03,1.00,0.20,0.20,none
d1n300_m018_a085_r070_piw003_piin100_wg020_wb020_boundnone,18,0.85,0.70,0.03,1.00,0.20,0.20,none
d1n300_m018_a085_r080_piw003_piin100_wg020_wb020_boundnone,18,0.85,0.80,0.03,1.00,0.20,0.20,none
d1n300_m018_a085_r090_piw003_piin100_wg020_wb020_boundnone,18,0.85,0.90,0.03,1.00,0.20,0.20,none
d1n300_m021_a065_r070_piw003_piin100_wg020_wb020_boundnone,21,0.65,0.70,0.03,1.00,0.20,0.20,none
d1n300_m021_a065_r080_piw003_piin100_wg020_wb020_boundnone,21,0.65,0.80,0.03,1.00,0.20,0.20,none
d1n300_m021_a065_r090_piw003_piin100_wg020_wb020_boundnone,21,0.65,0.90,0.03,1.00,0.20,0.20,none
d1n300_m021_a075_r070_piw003_piin100_wg020_wb020_boundnone,21,0.75,0.70,0.03,1.00,0.20,0.20,none
d1n300_m021_a075_r080_piw003_piin100_wg020_wb020_boundnone,21,0.75,0.80,0.03,1.00,0.20,0.20,none
d1n300_m021_a075_r090_piw003_piin100_wg020_wb020_boundnone,21,0.75,0.90,0.03,1.00,0.20,0.20,none
d1n300_m021_a085_r070_piw003_piin100_wg020_wb020_boundnone,21,0.85,0.70,0.03,1.00,0.20,0.20,none
d1n300_m021_a085_r080_piw003_piin100_wg020_wb020_boundnone,21,0.85,0.80,0.03,1.00,0.20,0.20,none
d1n300_m021_a085_r090_piw003_piin100_wg020_wb020_boundnone,21,0.85,0.90,0.03,1.00,0.20,0.20,none
d1n300_m024_a065_r070_piw003_piin100_wg020_wb020_boundnone,24,0.65,0.70,0.03,1.00,0.20,0.20,none
d1n300_m024_a065_r080_piw003_piin100_wg020_wb020_boundnone,24,0.65,0.80,0.03,1.00,0.20,0.20,none
d1n300_m024_a065_r090_piw003_piin100_wg020_wb020_boundnone,24,0.65,0.90,0.03,1.00,0.20,0.20,none
d1n300_m024_a075_r070_piw003_piin100_wg020_wb020_boundnone,24,0.75,0.70,0.03,1.00,0.20,0.20,none
d1n300_m024_a075_r080_piw003_piin100_wg020_wb020_boundnone,24,0.75,0.80,0.03,1.00,0.20,0.20,none
d1n300_m024_a075_r090_piw003_piin100_wg020_wb020_boundnone,24,0.75,0.90,0.03,1.00,0.20,0.20,none
d1n300_m024_a085_r070_piw003_piin100_wg020_wb020_boundnone,24,0.85,0.70,0.03,1.00,0.20,0.20,none
d1n300_m024_a085_r080_piw003_piin100_wg020_wb020_boundnone,24,0.85,0.80,0.03,1.00,0.20,0.20,none
d1n300_m024_a085_r090_piw003_piin100_wg020_wb020_boundnone,24,0.85,0.90,0.03,1.00,0.20,0.20,none
d1n300_m030_a065_r070_piw003_piin100_wg020_wb020_boundnone,30,0.65,0.70,0.03,1.00,0.20,0.20,none
d1n300_m030_a065_r080_piw003_piin100_wg020_wb020_boundnone,30,0.65,0.80,0.03,1.00,0.20,0.20,none
d1n300_m030_a065_r090_piw003_piin100_wg020_wb020_boundnone,30,0.65,0.90,0.03,1.00,0.20,0.20,none
d1n300_m030_a075_r070_piw003_piin100_wg020_wb020_boundnone,30,0.75,0.70,0.03,1.00,0.20,0.20,none
d1n300_m030_a075_r080_piw003_piin100_wg020_wb020_boundnone,30,0.75,0.80,0.03,1.00,0.20,0.20,none
d1n300_m030_a075_r090_piw003_piin100_wg020_wb020_boundnone,30,0.75,0.90,0.03,1.00,0.20,0.20,none
d1n300_m030_a085_r070_piw003_piin100_wg020_wb020_boundnone,30,0.85,0.70,0.03,1.00,0.20,0.20,none
d1n300_m030_a085_r080_piw003_piin100_wg020_wb020_boundnone,30,0.85,0.80,0.03,1.00,0.20,0.20,none
d1n300_m030_a085_r090_piw003_piin100_wg020_wb020_boundnone,30,0.85,0.90,0.03,1.00,0.20,0.20,none
