fold,method_id,baseline_method_id,AQL,baseline_AQL,delta_AQL,ratio_AQL,MAE,baseline_MAE,delta_MAE,ratio_MAE,RMSE,baseline_RMSE,delta_RMSE,ratio_RMSE
1,qdesn_exal_rhs_ns_exact_chunked,pricefm_phase1_pretraining,5.074280316840853,5.323539526886216,-0.2492592100453627,0.9531779169128932,12.62102876748352,13.12339978307092,-0.5023710155873999,0.9617194458835694,20.02926441693945,22.06619266208433,-2.0369282451448782,0.907690090613372
1,qdesn_al_rhs_ns_exact_chunked,pricefm_phase1_pretraining,5.119165520005391,5.323539526886216,-0.2043740068808244,0.9616093755200564,12.662026224292903,13.12339978307092,-0.4613735587780159,0.9648434425221744,20.053754725820472,22.06619266208433,-2.012437936263858,0.9087999471824711
1,pricefm_phase1_pretraining,pricefm_phase1_pretraining,5.323539526886216,5.323539526886216,0.0,1.0,13.12339978307092,13.12339978307092,0.0,1.0,22.06619266208433,22.06619266208433,0.0,1.0
1,normal_rhs_ns,pricefm_phase1_pretraining,6.690491043483006,5.323539526886216,1.3669515165967905,1.2567749351147075,15.85818183365432,13.12339978307092,2.734782050583401,1.2083897538586952,22.086782344964995,22.06619266208433,0.020589682880665,1.0009330872432762
1,normal_scaled_ridge,pricefm_phase1_pretraining,40.47967771309725,5.323539526886216,35.15613818621104,7.603902912462109,28.02276402244356,13.12339978307092,14.899364239372638,2.1353280769966863,35.936957234599326,22.06619266208433,13.870764572514997,1.628597999887344
2,pricefm_phase1_pretraining,pricefm_phase1_pretraining,5.355079281228597,5.355079281228597,0.0,1.0,13.235906561866322,13.235906561866322,0.0,1.0,20.01396106495478,20.01396106495478,0.0,1.0
2,qdesn_exal_rhs_ns_exact_chunked,pricefm_phase1_pretraining,5.62782667745948,5.355079281228597,0.2727473962308835,1.0509324665251842,14.034605735964352,13.235906561866322,0.7986991740980294,1.0603433675181075,21.20318353939317,20.01396106495478,1.189222474438388,1.0594196456452971
2,qdesn_al_rhs_ns_exact_chunked,pricefm_phase1_pretraining,5.674595771957336,5.355079281228597,0.3195164907287395,1.0596660616862863,14.098991237186508,13.235906561866322,0.8630846753201862,1.0652078247369017,21.22238605791649,20.01396106495478,1.20842499296171,1.0603791018199644
2,normal_rhs_ns,pricefm_phase1_pretraining,7.055177934708856,5.355079281228597,1.700098653480259,1.317474039915654,16.729663788141764,13.235906561866322,3.493757226275441,1.2639605538121,23.258116845446818,20.01396106495478,3.2441557804920365,1.1620946383358703
2,normal_scaled_ridge,pricefm_phase1_pretraining,34.016676002450815,5.355079281228597,28.661596721222217,6.352226403386971,24.48183626929581,13.235906561866322,11.245929707429486,1.849653150304784,32.373559524591634,20.01396106495478,12.359598459636851,1.6175488410077397
3,pricefm_phase1_pretraining,pricefm_phase1_pretraining,6.029767217747075,6.029767217747075,0.0,1.0,14.783423903435038,14.783423903435038,0.0,1.0,25.517974836715773,25.517974836715773,0.0,1.0
3,qdesn_exal_rhs_ns_exact_chunked,pricefm_phase1_pretraining,7.077683745273667,6.029767217747075,1.047916527526592,1.17379054442472,17.409855378813788,14.783423903435038,2.62643147537875,1.1776605671686435,27.545349178758805,25.517974836715773,2.027374342043032,1.079448873000925
3,qdesn_al_rhs_ns_exact_chunked,pricefm_phase1_pretraining,7.13065910468481,6.029767217747075,1.1008918869377349,1.182576183653913,17.386336533685462,14.783423903435038,2.602912630250424,1.17606967420082,27.482797974843272,25.517974836715773,1.9648231381275,1.0769976124947216
3,normal_rhs_ns,pricefm_phase1_pretraining,8.492816110073457,6.029767217747075,2.4630488923263822,1.408481588655202,21.13685750559755,14.783423903435038,6.353433602162513,1.4297673964883226,29.28129246575436,25.517974836715773,3.7633176290385855,1.1474771275196904
3,normal_scaled_ridge,pricefm_phase1_pretraining,29.85840880325456,6.029767217747075,23.828641585507484,4.951834411679108,25.553198671832533,14.783423903435038,10.769774768397497,1.728503412926897,34.386469834731095,25.517974836715773,8.868494998015322,1.3475391387742557
