fold,method_id,split,unit,AQL,AQCR,MAE,RMSE
1,qdesn_exal_rhs_ns_exact_chunked,test,original,5.074280316840853,0.000390625,12.62102876748352,20.02926441693945
1,qdesn_al_rhs_ns_exact_chunked,test,original,5.119165520005391,0.0060040509259259,12.662026224292903,20.053754725820472
1,pricefm_phase1_pretraining,test,original,5.323539526886216,0.0,13.12339978307092,22.06619266208433
1,normal_rhs_ns,test,original,6.690491043483006,0.0,15.85818183365432,22.086782344964995
1,normal_scaled_ridge,test,original,40.47967771309725,0.0,28.02276402244356,35.936957234599326
2,pricefm_phase1_pretraining,test,original,5.355079281228597,0.0,13.235906561866322,20.01396106495478
2,qdesn_exal_rhs_ns_exact_chunked,test,original,5.62782667745948,0.0012138663053297,14.034605735964352,21.20318353939317
2,qdesn_al_rhs_ns_exact_chunked,test,original,5.674595771957336,0.0162178184281842,14.098991237186508,21.22238605791649
2,normal_rhs_ns,test,original,7.055177934708856,0.0,16.729663788141764,23.258116845446818
2,normal_scaled_ridge,test,original,34.016676002450815,0.0,24.48183626929581,32.373559524591634
3,pricefm_phase1_pretraining,test,original,6.029767217747075,0.0,14.783423903435038,25.517974836715773
3,qdesn_exal_rhs_ns_exact_chunked,test,original,7.077683745273667,0.0028033925318761,17.409855378813788,27.545349178758805
3,qdesn_al_rhs_ns_exact_chunked,test,original,7.13065910468481,0.0115124089253187,17.386336533685462,27.482797974843272
3,normal_rhs_ns,test,original,8.492816110073457,0.0,21.13685750559755,29.28129246575436
3,normal_scaled_ridge,test,original,29.85840880325456,0.0,25.553198671832533,34.386469834731095
