fold,method_id,AQL,AQCR,MAE,RMSE
1,qdesn_exal_rhs_ns_exact_chunked,5.074280316840853,0.000390625,12.62102876748352,20.02926441693945
1,qdesn_al_rhs_ns_exact_chunked,5.119165520005391,0.0060040509259259,12.662026224292903,20.053754725820472
1,pricefm_phase1_pretraining,5.323539526886216,0.0,13.12339978307092,22.06619266208433
1,normal_rhs_ns,6.690491043483006,0.0,15.85818183365432,22.086782344964995
1,normal_scaled_ridge,40.47967771309725,0.0,28.02276402244356,35.936957234599326
2,pricefm_phase1_pretraining,5.355079281228597,0.0,13.235906561866322,20.01396106495478
2,qdesn_exal_rhs_ns_exact_chunked,5.627839886022299,0.0012562104787714,14.034639078546885,21.20316344872794
2,qdesn_al_rhs_ns_exact_chunked,5.674629436321862,0.0162883920505871,14.09908209068936,21.222417344504176
2,normal_rhs_ns,7.055230428355369,0.0,16.72985589583276,23.258325960780137
2,normal_scaled_ridge,34.016643895187705,0.0,24.48156806848205,32.373282045195694
3,pricefm_phase1_pretraining,6.029767217747077,0.0,14.783423903435038,25.51797483671577
3,qdesn_exal_rhs_ns_exact_chunked,7.015116822729933,0.0064321493624772,17.118508168983208,26.95498212668296
3,qdesn_al_rhs_ns_exact_chunked,7.135959052477967,0.0178876366120218,17.191822109095597,27.019667893340337
3,normal_rhs_ns,8.483668618156132,0.0,21.19745977684895,28.995511072519086
3,normal_scaled_ridge,26.60197911856152,0.0,32.32189145048924,41.62776274589891
