fold,comparison_dir,method_id,split,unit,AQL,AQCR,MAE,RMSE
2,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/authoritative/pricefm_phase1_vs_desn_de_lu_fold2_followup_20260605,pricefm_phase1_pretraining,test,original,5.355079281228597,0.0,13.235906561866322,20.01396106495478
2,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/authoritative/pricefm_phase1_vs_desn_de_lu_fold2_followup_20260605,qdesn_exal_rhs_ns_exact_chunked,test,original,5.609819164092624,0.0014820460704607,14.066581722577707,21.26397036762608
2,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/authoritative/pricefm_phase1_vs_desn_de_lu_fold2_followup_20260605,qdesn_al_rhs_ns_exact_chunked,test,original,5.648170694224723,0.0283423667570009,14.088665066102124,21.234694007309194
2,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/authoritative/pricefm_phase1_vs_desn_de_lu_fold2_followup_20260605,normal_rhs_ns,test,original,6.798668609926643,0.0,15.848698233962018,22.23817347007075
2,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/authoritative/pricefm_phase1_vs_desn_de_lu_fold2_followup_20260605,normal_scaled_ridge,test,original,38.53732603680602,0.0,53.64251852902568,74.28777546579599
3,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/authoritative/pricefm_phase1_vs_desn_de_lu_fold3_followup_20260605,pricefm_phase1_pretraining,test,original,6.029767217747077,0.0,14.783423903435038,25.51797483671577
3,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/authoritative/pricefm_phase1_vs_desn_de_lu_fold3_followup_20260605,qdesn_exal_rhs_ns_exact_chunked,test,original,6.876661172549746,0.0002846083788706,17.00911181139775,26.90075468241856
3,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/authoritative/pricefm_phase1_vs_desn_de_lu_fold3_followup_20260605,qdesn_al_rhs_ns_exact_chunked,test,original,6.9055921474372735,0.0035006830601092,17.014503942279582,26.87734948824589
3,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/authoritative/pricefm_phase1_vs_desn_de_lu_fold3_followup_20260605,normal_rhs_ns,test,original,8.337357058989593,0.0,20.722608709907924,28.58182559812064
3,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/authoritative/pricefm_phase1_vs_desn_de_lu_fold3_followup_20260605,normal_scaled_ridge,test,original,25.2845819451675,0.0,24.9541360588095,32.842906412355354
