fold,comparison_dir,method_id,available_prediction_rows,available_unique_response_rows,aligned_prediction_rows,aligned_unique_response_rows
2,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/authoritative/pricefm_phase1_vs_desn_de_lu_fold2_followup_20260605,normal_rhs_ns,82656,11808,82656,11808
2,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/authoritative/pricefm_phase1_vs_desn_de_lu_fold2_followup_20260605,normal_scaled_ridge,82656,11808,82656,11808
2,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/authoritative/pricefm_phase1_vs_desn_de_lu_fold2_followup_20260605,pricefm_phase1_pretraining,82656,11808,82656,11808
2,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/authoritative/pricefm_phase1_vs_desn_de_lu_fold2_followup_20260605,qdesn_al_rhs_ns_exact_chunked,82656,11808,82656,11808
2,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/authoritative/pricefm_phase1_vs_desn_de_lu_fold2_followup_20260605,qdesn_exal_rhs_ns_exact_chunked,82656,11808,82656,11808
3,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/authoritative/pricefm_phase1_vs_desn_de_lu_fold3_followup_20260605,normal_rhs_ns,81984,11712,81984,11712
3,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/authoritative/pricefm_phase1_vs_desn_de_lu_fold3_followup_20260605,normal_scaled_ridge,81984,11712,81984,11712
3,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/authoritative/pricefm_phase1_vs_desn_de_lu_fold3_followup_20260605,pricefm_phase1_pretraining,81984,11712,81984,11712
3,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/authoritative/pricefm_phase1_vs_desn_de_lu_fold3_followup_20260605,qdesn_al_rhs_ns_exact_chunked,81984,11712,81984,11712
3,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/authoritative/pricefm_phase1_vs_desn_de_lu_fold3_followup_20260605,qdesn_exal_rhs_ns_exact_chunked,81984,11712,81984,11712
