"gate","check","required","status","detail"
"inputs","input_manifest_valid",TRUE,"ok","input manifest matches registered files"
"inputs","quantile_grid_valid",TRUE,"ok","enabled levels are valid"
"inputs","model_grid_valid",TRUE,"ok","model grid and Q-DESN prior contract are valid"
"provenance","run_manifest_files_present",TRUE,"ok","run manifest files present"
"engine","qdesn_engine_api",TRUE,"ok","ok"
"engine","qdesn_engine_sha_recorded",TRUE,"ok","e4e6dc0f7976c1464e91231557f9212914e7438a"
"engine","qdesn_engine_source_policy",TRUE,"ok","Q-DESN engine source policy satisfied."
"engine","qdesn_discrepancy_required_fit_support",TRUE,"ok","all required discrepancy fit rows are supported by the configured engine"
"stages","00_check_inputs",TRUE,"ok","completed at 2026-05-15 22:17:32 EDT"
"stages","00_audit_input_bundle",TRUE,"ok","completed at 2026-05-15 22:17:33 EDT"
"stages","01_build_panel",TRUE,"ok","completed at 2026-05-15 22:17:36 EDT"
"stages","02_make_input_figures",TRUE,"ok","completed at 2026-05-15 22:17:39 EDT"
"stages","03_fit_models",TRUE,"ok","completed at 2026-05-17 10:46:15 EDT"
"stages","04_score_models",TRUE,"ok","completed at 2026-05-17 10:46:16 EDT"
"stages","05_make_outputs",TRUE,"ok","completed at 2026-05-17 10:46:19 EDT"
"figures","figure_files_exist",TRUE,"ok","8 figure files found"
"figures","figure_files_nontrivial",TRUE,"ok","all figure files are at least 1000 bytes"
"figures","pdf_pages_readable",TRUE,"ok","input_coverage_timeline.pdf:1; reference_glofas_retrospective_series.pdf:1; glofas_ensemble_fan_selected_origins.pdf:1; horizon_member_availability_heatmap.pdf:1; reference_glofas_retrospective_scatter.pdf:1; retrospective_discrepancy_by_month.pdf:1; cutoff_source_diagnostic_dec25_2022.pdf:1; cutoff_covariate_diagnostic_dec25_2022.pdf:1"
"outputs","prediction_table_exists",TRUE,"ok","/data/jaguir26/local/src/Article-Q-DESN/application/runs/latent_path_main_al_vb_n1000_m360_20260515_221729/tables/prediction_quantiles.csv"
"outputs","score_summary_exists",TRUE,"ok","/data/jaguir26/local/src/Article-Q-DESN/application/runs/latent_path_main_al_vb_n1000_m360_20260515_221729/tables/score_summary.csv"
"outputs","fit_status_exists",TRUE,"ok","/data/jaguir26/local/src/Article-Q-DESN/application/runs/latent_path_main_al_vb_n1000_m360_20260515_221729/tables/fit_status.csv"
"outputs","prediction_table_columns",TRUE,"ok","required columns present"
"outputs","prediction_contract_valid",TRUE,"ok","prediction contract metadata and qhat identity are valid"
"outputs","finite_predictions",TRUE,"ok","56 prediction rows"
"outputs","prediction_contract_recorded",TRUE,"ok","posterior_draw_glofas_quantile_minus_discrepancy; raw_glofas_ensemble_quantile"
"outputs","posterior_draw_table_exists",TRUE,"ok","/data/jaguir26/local/src/Article-Q-DESN/application/runs/latent_path_main_al_vb_n1000_m360_20260515_221729/tables/posterior_draw_predictions.csv"
"outputs","posterior_draw_contract_valid",TRUE,"ok","56000 posterior-draw prediction rows satisfy q_y_draw = q_g_draw - d_g_draw"
"outputs","score_summary_nonempty",TRUE,"ok","2 scored model rows"
"outputs","required_fits_completed",TRUE,"ok","no required fit failures"
"code","article_git_clean",TRUE,"ok","git status --short is empty"
"code","article_git_upstream_synced",TRUE,"ok","local branch is synchronized with origin/application-ensemble-likelihood-redesign"
"code","engine_git_clean",TRUE,"ok","git status --short is empty"
"code","engine_git_upstream_synced",TRUE,"ok","local branch is synchronized with origin/validation/shared-fitforecast-v2-1.0.0"
"boundary","not_final_launch",FALSE,"failed","run is not marked as prelaunch; verify before final launch"
