"model_id","model_family","n_quantile_levels","quantile_levels","horizon","n","check_loss_mean","mae_to_observation","rmse_to_observation","bias_to_observation"
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",1,7,0.0510620432257333,0.313293176697581,0.485736844895234,0.276717960762219
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",1,7,0.144283957784477,0.292750059272851,0.292750059272851,-0.292750059272851
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",2,7,0.867937498104472,2.07342382665059,2.1497686943115,-2.07342382665059
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",2,7,1.35942075145665,2.81125285100148,2.81399694996202,-2.81125285100148
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",3,7,0.263526132801129,0.868634322615959,0.944370966359837,-0.752537789319248
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",3,7,0.47032209038395,1.08256919849528,1.10253752459107,-1.08256919849528
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",4,7,0.0960620204315073,0.521403190805623,0.595217649662287,-0.207576901727314
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",4,7,0.211020812387435,0.554973073963921,0.591696454901468,-0.554973073963921
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",5,7,0.371227109938465,1.10439269022463,1.20309458575129,-1.0377214839797
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",5,7,0.620531941831122,1.39406622108227,1.41098826609664,-1.39406622108227
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",6,7,1.50732451116696,3.42976136254443,3.48641929766041,-3.42976136254443
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",6,7,1.69464432422073,3.58202169213801,3.58969806424197,-3.58202169213801
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",7,7,0.638940283761398,1.71984631423145,1.86020225881115,-1.71984631423145
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",7,7,0.868613819096618,1.92030369880949,1.9372233117704,-1.92030369880949
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",8,7,0.270619498109198,0.932322850578443,1.03254819948331,-0.809443896201623
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",8,7,0.474190999145813,1.12741534326562,1.15924831101308,-1.12741534326562
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",9,7,0.172295185018922,0.766369203722621,0.879354120072697,-0.533552730390778
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",9,7,0.297191838655828,0.811842381537337,0.879064992466767,-0.811842381537337
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",10,7,0.442256475932884,1.25977158030999,1.39687550037319,-1.25977158030999
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",10,7,0.581836208098385,1.36708313524833,1.40032321568045,-1.36708313524833
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",11,7,0.896483418000634,2.14090912753039,2.2105701415784,-2.14090912753039
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",11,7,0.922734055330613,2.07837088486227,2.10564340451385,-2.07837088486227
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",12,7,0.337516112778811,1.09478889803487,1.23566740987765,-1.03426144389846
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",12,7,0.47578593158699,1.17536548762186,1.22473251034586,-1.17536548762186
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",13,7,0.289587873154061,0.909355668693756,1.00792823725682,-0.850832674646844
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",13,7,0.297772733327948,0.822961091100207,0.895867289736183,-0.822961091100207
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",14,7,0.626031067447807,1.68590461280807,1.81978654101842,-1.68590461280807
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",14,7,0.81835003972873,1.88291846746894,1.91680888574857,-1.88291846746894
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",15,7,1.3018896737886,3.03714261007726,3.10624887938824,-3.03714261007726
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",15,7,1.47090534872907,3.23305534291663,3.25778707486198,-3.23305534291663
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",16,7,0.738057154085977,1.84519178616787,1.93365920570856,-1.84519178616787
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",16,7,0.852336794747094,1.97233629966232,2.01143631500119,-1.97233629966232
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",17,7,0.733734546491582,1.85509248708382,1.9527434672202,-1.85509248708382
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",17,7,0.817530352846228,1.90812826798026,1.95146240449713,-1.90812826798026
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",18,7,0.610619377792257,1.6511647496537,1.78799359001954,-1.6511647496537
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",18,7,0.768936207652716,1.82843475306116,1.88123041446101,-1.82843475306116
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",19,7,0.659654821839347,1.7383224680607,1.85884722773916,-1.7383224680607
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",19,7,0.857916978211203,2.00516918704548,2.05251757242776,-2.00516918704548
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",20,7,1.22555572354538,2.89963346681544,2.97935663523158,-2.89963346681544
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",20,7,1.4509521952317,3.19771779751705,3.22435360402634,-3.19771779751705
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",21,7,0.797916512237206,2.05435643906145,2.18013059330073,-2.05435643906145
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",21,7,1.03417315461107,2.37257817694602,2.4135861823934,-2.37257817694602
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",22,7,0.944096198750168,2.34968826092321,2.45884234828576,-2.34968826092321
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",22,7,1.16709028742861,2.65403277980127,2.69426529443975,-2.65403277980127
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",23,7,0.587017415559956,1.63640025909335,1.79610345106623,-1.63640025909335
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",23,7,0.860258956051293,2.04388284190018,2.09973766695418,-2.04388284190018
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",24,7,0.384628959731997,1.26537250404894,1.4160818129231,-1.1680897657558
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",24,7,0.710373816271325,1.74547656896476,1.81317247909914,-1.74547656896476
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",25,7,0.444199575175487,1.30558515504679,1.44528776911321,-1.27252748162568
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",25,7,0.638972118760618,1.60808869575093,1.68443878108352,-1.60808869575093
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",26,7,0.382921736664058,1.15455618180855,1.30053519472385,-1.13852198966449
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",26,7,0.559446793423628,1.44111888770305,1.52369083284855,-1.44111888770305
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",27,7,0.257551583347953,0.97301685763189,1.09251165959828,-0.797161111453119
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",27,7,0.505539771487189,1.32299397379146,1.40767594086738,-1.32299397379146
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",28,7,0.2733965039114,0.966260556576744,1.06666181877345,-0.81208396147661
"raw_glofas_reservoir_only_m360_full7","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",28,7,0.459263449262038,1.23353287038907,1.32525483873876,-1.23353287038907
