"model_id","origin_date","target_date","horizon","crps_quantile_grid"
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2022-12-26,1,0.263475053345566
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2022-12-27,2,2.51860020277566
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2022-12-28,3,0.892705931312918
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2022-12-29,4,0.417175997536867
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2022-12-30,5,1.162547010302
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2022-12-31,6,3.12990239226459
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-01,7,1.61940759864428
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-02,8,0.897075802954318
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-03,9,0.589355540097015
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-04,10,1.09577939397659
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-05,11,1.73969768187217
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-06,12,0.911310043895042
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-07,13,0.58854752853917
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-08,14,1.53347903950816
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-09,15,2.73416107240907
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-10,16,1.59983958415151
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-11,17,1.53375168556061
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-12,18,1.45680377466289
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-13,19,1.61907216527744
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-14,20,2.70246970301726
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-15,21,1.94654980183006
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-16,22,2.20055860916607
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-17,23,1.63504217175453
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-18,24,1.36622580853699
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-19,25,1.23477876116425
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-20,26,1.09457623152345
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-21,27,0.999665513704142
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-22,28,0.90348781946864
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2022-12-26,1,0.414973020091568
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2022-12-27,2,1.40284931863475
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2022-12-28,3,0.511782971617322
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2022-12-29,4,0.136970249501601
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2022-12-30,5,0.699025188630996
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2022-12-31,6,2.71206298050146
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-01,7,1.27543871283077
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-02,8,0.541848451281165
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-03,9,0.401621948333856
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-04,10,0.845802251869329
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-05,11,1.50643634437233
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-06,12,0.680085904710087
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-07,13,0.343846214285174
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-08,14,1.14132333328146
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-09,15,2.30231769216406
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-10,16,1.16429074161661
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-11,17,1.12267827557659
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-12,18,1.06786851139859
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-13,19,1.18729058239278
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-14,20,2.21308490435471
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-15,21,1.40391704212098
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-16,22,1.62709462228039
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-17,23,1.02863822698345
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-18,24,0.74321544941052
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-19,25,0.581098350343244
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-20,26,0.504394500814542
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-21,27,0.368266150207968
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current",2022-12-25,2023-01-22,28,0.342552875039042
