"Scenario","Family","Joint QDESN","Independent QDESN","Joint exQDESN","Best stable row"
"Normal Bridge","Gaussian","0.089 (0.114)","0.089 (0.119)","0.151 (0.170)","Independent QDESN RHS"
"Laplace Bridge","Laplace","0.092 (0.130)","0.109 (0.151)","0.141 (0.186)","Joint QDESN RHS"
"Gaussian Mixture Bridge","Gaussian Mixture","0.098 (0.129)","0.101 (0.137)","0.139 (0.165)","Joint QDESN RHS"
"Student-t Location-Scale","Student-t","0.081 (0.104)","0.083 (0.116)","0.145 (0.177)","Joint QDESN RHS"
"Asymmetric Laplace Tail","Asymmetric Laplace","0.090 (0.135)","0.092 (0.150)","0.152 (0.219)","Joint QDESN RHS"
"Heteroskedastic Seasonal","Student-t","0.089 (0.118)","0.093 (0.128)","0.094 (0.123)","Joint QDESN RHS"
"Persistent Heavy Tail","Student-t","0.133 (0.176)","0.135 (0.187)","0.161 (0.205)","Joint QDESN RHS"
"Regime Shift","Student-t","0.149 (0.169)","0.107 (0.139)","0.206 (0.247)","Independent QDESN RHS"
"Nonlinear Reservoir Friendly","Gaussian Mixture","0.104 (0.146)","0.123 (0.162)","0.202 (0.252)","Joint QDESN RHS"
